product_id,Price (After Discount),Sales Count,Rating Average,Number Reviews,Discount Rate,neg_count,neu_count,pos_count
75627527,119990,20,5.0,1,29,0,0,2
3014291,752000,38418,4.8,5653,10,40,20,220
278055541,349000,104,4.2,6,29,2,0,0
277622005,205000,91,5.0,9,21,0,0,4
276562878,153000,91,5.0,8,22,0,0,4
276074174,104000,74,5.0,7,23,1,0,2
275962493,402000,220,4.8,31,27,1,0,6
275948805,211000,169,4.8,8,26,0,0,2
275923492,221760,199,5.0,25,23,1,1,4
275853526,89900,126,4.8,12,35,0,0,4
274136484,115000,182,4.6,30,8,3,1,3
274028810,25000,81,5.0,2,0,0,0,1
272227226,103400,171,4.3,7,29,1,0,1
263049497,106260,907,4.8,72,23,4,1,13
262550907,129000,69,5.0,3,0,0,0,1
252138287,107030,170,5.0,6,23,0,0,1
215123449,155000,539,4.7,37,34,2,1,12
195545504,62000,500,5.0,54,23,3,1,11
195545270,32800,184,4.7,16,22,1,2,4
191077718,210000,184,4.8,28,40,0,1,10
190707634,156000,369,4.7,46,34,2,2,14
176906754,227150,953,4.8,76,23,3,4,24
167301575,111200,2175,4.7,162,20,17,3,43
156824943,111650,1186,5.0,201,23,5,6,56
155115299,82000,510,5.0,66,43,3,0,37
111579995,70400,441,5.0,67,45,5,2,27
99089541,384000,23,4.5,5,30,1,0,0
77105703,72000,1143,5.0,134,24,4,2,40
60808684,52200,206,4.8,28,55,3,2,12
56377195,73700,542,4.1,62,26,11,5,21
49026028,102000,315,4.8,50,32,3,2,24
22881852,207100,12769,5.0,2623,5,14,24,250
10379313,220600,2283,4.6,135,24,11,5,44
6010325,125300,1104,4.7,74,30,8,5,26
5154511,68600,4984,5.0,551,30,13,19,134
278669278,123000,23,5.0,1,17,0,0,1
277907347,140000,49,4.7,6,20,1,0,0
277770730,169400,146,5.0,3,23,0,0,2
277599507,118300,7,5.0,2,30,0,0,1
277526020,106000,59,3.0,2,33,0,1,1
277514023,151200,96,4.8,17,20,0,1,3
277444558,113960,116,1.0,1,23,0,0,1
277045721,131100,49,4.7,6,33,1,0,3
275245071,77000,116,5.0,10,33,0,1,3
274455492,790000,54,4.5,2,28,0,0,1
273978192,166000,154,5.0,16,32,0,1,5
273822776,117600,114,5.0,4,30,0,0,1
203231461,99330,564,5.0,54,23,1,2,13
195961274,73800,118,4.8,9,25,1,1,2
187824619,67000,908,5.0,65,26,1,2,18
180399921,102000,64,5.0,11,15,0,0,5
162100197,69900,150,5.0,20,29,0,0,2
80142837,162700,1797,4.8,326,29,15,14,149
76837849,86400,168,4.8,25,6,7,7,29
