ID,Seller ID,Name,Price (After Discount),Price (Before Discount),Sales Count,Rating Average,Number Reviews,Discount Rate,URL
275245071,1,Sách Những tấm lòng cao cả,77000,115000,116,5.0,10,33,https://tiki.vn/sach-nhung-tam-long-cao-ca-p275245071.html?spid=275245072
274970379,1,Sách 1000 Bộ Não,144900,189000,51,5.0,1,23,https://tiki.vn/sach-1000-bo-nao-p274970379.html?spid=274970383
274455492,1,"Combo 3 cuốn: Storytelling With You (Kể Chuyện Thông Qua Dữ Liệu, Thực Hành Kể Chuyện Thông Qua Dữ Liệu, Kể Chuyện Từ Chính Bạn)",790000,1097000,54,4.5,2,28,https://tiki.vn/combo-3-cuon-storytelling-with-you-ke-chuyen-thong-qua-du-lieu-thuc-hanh-ke-chuyen-thong-qua-du-lieu-ke-chuyen-tu-chinh-ban-p274455492.html?spid=274455493
273978192,1,Sách Đời Giấy,166000,245000,154,5.0,16,32,https://tiki.vn/sach-doi-giay-p273978192.html?spid=273978193
273822776,1,Sách Nghệ thuật du ngoạn,117600,168000,114,5.0,4,30,https://tiki.vn/sach-nghe-thuat-du-ngoan-p273822776.html?spid=273822777
273448677,1,Sách Kỷ Luật Tích Cực Dành Cho Trẻ Mẫu Giáo,149900,212000,56,5.0,1,29,https://tiki.vn/sach-ky-luat-tich-cuc-danh-cho-tre-mau-giao-p273448677.html?spid=273448678
272829533,156095,Giáo trình luật dân sự 1 (Phần chung),115000,115000,47,5.0,2,0,https://tiki.vn/giao-trinh-luat-dan-su-1-phan-chung-p272829533.html?spid=272829534
203231461,1,Sách SIGNS Thông Điệp Bí Ẩn Từ Vũ Trụ,99330,129000,564,5.0,54,23,https://tiki.vn/sach-signs-thong-diep-bi-an-tu-vu-tru-p203231461.html?spid=203231462
195961274,1,Sách Đệ Tử Quy (Tái Bản),73800,98000,118,4.8,9,25,https://tiki.vn/sach-de-tu-quy-tai-ban-p195961274.html?spid=195961279
187824619,1,Sách Công Dân Toàn Cầu - Công Dân Vũ Trụ,67000,90000,908,5.0,65,26,https://tiki.vn/sach-cong-dan-toan-cau-cong-dan-vu-tru-p187824619.html?spid=187824620
180399921,53660,Tôi Tự Học (Tái Bản 2022),102000,120000,64,5.0,11,15,https://tiki.vn/toi-tu-hoc-tai-ban-2022-p180399921.html?spid=180399922
162100197,1,Sách Nam Cao - Sống Mòn (Bìa Cứng) (Tái Bản),69900,98000,150,5.0,20,29,https://tiki.vn/sach-nam-cao-song-mon-bia-cung-tai-ban-p162100197.html?spid=162100198
80142837,1,Sách Hackers IELTS Basic- Listening,162700,229000,1797,4.8,326,29,https://tiki.vn/sach-hackers-ielts-basic-listening-p80142837.html?spid=80142838
76837849,53660,Sách Cái Ác - Một Thách Thức Đối Với Tiết Học Và Thần Học,86400,92000,168,4.8,25,6,https://tiki.vn/sach-cai-ac-mot-thach-thuc-doi-voi-tiet-hoc-va-than-hoc-p76837849.html?spid=78957110
57110087,7446,Siêu Cò – How To Be A Power Connector,249000,249000,13463,4.8,2250,0,https://tiki.vn/sieu-co-how-to-be-a-power-connector-p57110087.html?spid=57110088
55505747,1,Combo Sách Ehon Nhật Bản: Chúng Mình Lớn Rồi (Set 4 Cuốn Nuôi Dưỡng Tâm Hồn Trẻ Từ 3-6 Tuổi / Ehon Cùng Con Lớn Khôn),120120,156000,2507,5.0,405,23,https://tiki.vn/combo-sach-ehon-nhat-ban-chung-minh-lon-roi-set-4-cuon-nuoi-duong-tam-hon-tre-tu-3-6-tuoi-ehon-cung-con-lon-khon-p55505747.html?spid=58267828
52004412,1,Sách D. Trump - Nghệ Thuật Đàm Phán (Tái bản 2020),83000,109000,4297,4.8,512,24,https://tiki.vn/sach-d-trump-nghe-thuat-dam-phan-tai-ban-2020-p52004412.html?spid=52004413
48210076,1,Sách Thí Nghiệm Đầu Hàng – Hành Trình Tuân Theo Sự Hoàn Hảo Của Dòng Đời,73800,105000,202,5.0,8,30,https://tiki.vn/sach-thi-nghiem-dau-hang-hanh-trinh-tuan-theo-su-hoan-hao-cua-dong-doi-p48210076.html?spid=48210077
