Price (Before Discount),Sales Count,Rating Average,Number Reviews,Discount Rate,as_content_label_id_0,as_content_label_id_1,as_content_label_id_2,as_content_label_id_3,as_physical_label_id_0,as_physical_label_id_1,as_physical_label_id_2,as_physical_label_id_3,as_price_label_id_0,as_price_label_id_1,as_price_label_id_2,as_price_label_id_3,as_packaging_label_id_0,as_packaging_label_id_1,as_packaging_label_id_2,as_packaging_label_id_3,as_delivery_label_id_0,as_delivery_label_id_1,as_delivery_label_id_2,as_delivery_label_id_3,as_service_label_id_0,as_service_label_id_1,as_service_label_id_2,as_service_label_id_3
450000,2630,4.8,226,30,7.0,7.0,20.0,36.0,10.0,4.0,29.0,27.0,0.0,1.0,6.0,63.0,6.0,0.0,8.0,56.0,1.0,1.0,15.0,53.0,0.0,0.0,2.0,68.0
160000,1797,5.0,101,22,0.0,0.0,29.0,16.0,5.0,0.0,11.0,29.0,0.0,1.0,0.0,44.0,2.0,0.0,7.0,36.0,2.0,0.0,6.0,37.0,0.0,0.0,0.0,45.0
228000,9156,5.0,790,23,12.0,7.0,67.0,73.0,5.0,4.0,37.0,113.0,0.0,0.0,7.0,152.0,3.0,0.0,34.0,122.0,3.0,1.0,43.0,112.0,1.0,0.0,5.0,153.0
105000,8731,5.0,768,23,4.0,9.0,48.0,108.0,12.0,8.0,62.0,87.0,0.0,0.0,10.0,159.0,14.0,2.0,50.0,103.0,3.0,3.0,61.0,102.0,2.0,0.0,12.0,155.0
165000,5194,5.0,594,32,7.0,10.0,43.0,111.0,7.0,2.0,75.0,87.0,2.0,0.0,5.0,164.0,2.0,0.0,48.0,121.0,3.0,4.0,55.0,109.0,1.0,0.0,4.0,166.0
182000,2681,5.0,316,23,4.0,5.0,48.0,61.0,3.0,2.0,31.0,82.0,0.0,4.0,5.0,109.0,4.0,0.0,21.0,93.0,3.0,0.0,33.0,82.0,1.0,0.0,6.0,111.0
108000,76652,5.0,13501,35,4.0,29.0,201.0,139.0,41.0,17.0,92.0,223.0,4.0,8.0,23.0,338.0,59.0,2.0,63.0,249.0,14.0,11.0,99.0,249.0,10.0,0.0,20.0,343.0
150000,18260,4.8,2750,30,3.0,20.0,81.0,184.0,64.0,31.0,96.0,97.0,0.0,4.0,20.0,264.0,62.0,6.0,58.0,162.0,7.0,15.0,107.0,159.0,4.0,2.0,10.0,272.0
129000,22849,4.8,2722,30,2.0,17.0,108.0,133.0,40.0,15.0,76.0,129.0,2.0,6.0,15.0,237.0,41.0,1.0,55.0,163.0,7.0,14.0,89.0,150.0,2.0,0.0,10.0,248.0
169000,43067,5.0,4077,30,5.0,13.0,130.0,116.0,26.0,6.0,100.0,132.0,0.0,2.0,23.0,239.0,25.0,2.0,56.0,181.0,5.0,6.0,78.0,175.0,3.0,1.0,15.0,245.0
